https://mp.weixin.qq.com/s?__biz=MzA3MzI4MjgzMw==&mid=2650760695&idx=1&sn=74dfa1261ab876e68ab2039cc0cce177&chksm=871aa189b06d289fc1cb1a4d1d44fb4a296a620b00aafefbb306f188049b355045c6dc492dc0&mpshare=1&scene=1&srcid=0418dNkM9P17QIO09m3UtOZG&from=groupmessage&ascene=1&devicetype=android-28&version=27000435&nettype=WIFI&abtest_cookie=BQABAAgACgALABIAEwAGAJ6GHgAmlx4AVpkeAL6ZHgDamR4A3JkeAAAA&lang=zh_CN&pass_ticket=fCninunevdObB56mDxY2bLrBMltXUVvFDEYAIDkcczSf0jqjvg5odSi7ZV9hr2Ip&wx_header=1

nvidia performance  nvidia 官网

   MLPerf    https://mlperf.org/results/   MLPerf 官网 



竞品厂商				竞品款型					关键竞争力					
厂商	领域	当前动态	A国	型号	布署位置	使用场景	款型竞分优先级	款型备注	架构	关键器件	性能	使用场景	功耗能效	其他
高优先级关注厂商														
Nvidia	"云侧训练推理
端侧推理
自动驾驶"	"各领域均有产品，引领市场节奏
近期关注T4、Xavier,2080ti"	Y	P4	CLOUD	云侧推理	高	成熟商用产品，竞争面广。同1910的主要对比款型						
				T4	CLOUD	云侧推理	高	"N卡最新产品，未来主要竞争款型，性能高
支持INT4，算力高"	"1、turing架构，引入turing tensor core，增强int的计算性能
2、发布支持int4运算，但当前tensorRT 5.0不配套"	1、320个turing core, 2560个cuda core	"8.1 FP32 TFLOPS
65 FP16 TFLOPS
130 INT8 TOPS
260 INT4 TOPS"	定位超大规模推理平台	"能效比较高
boost 频率1590,功耗70w，功耗和温度达到阈值时都会触发限频
功耗策略值得参考"	
				DGX2	CLOUD	云侧训练	高	云上第一代产品， 增加HBM带宽，通过16个卡+12 nvswitch组建	" NVIDIA NVSwitch 网络架构进行模型并行训练
NVIDIA 首款 2 petaFLOPS GPU 加速器采用的正是这种创新技术，其 GPU 间带宽高达 2.4 TB/"	"1、tensor core 640、cuda core 5120
2、HBM2高于 Pascal GPU 1.5 倍的显存带宽(900GB/秒)"	 2 petaFLOPS	分布式训练	全新的最大节能模式。在此模式下，TeslaV100 以最大处理效率运行时，可提供高达 80% 的性能而只需一半的功耗	NVLINK技术， 2 倍于上一代的吞吐量。高达 8 块 Tesla V100加速器能以高达 300GB/ 秒的速度互联
				jetson XAVIER	Device	端侧推理、生态开发者	高	SOC芯片如Drvier Xavier和pegasus（4 chips），供1951参考	"AGX平台基于Xavier发展而来，在自动驾驶场景的基础上拓展工业机器人、IOT以及医疗器械场景，对应为
Driver AGX、jetson AGX、clara AGX"	"1、CPU:集成8*Carmel核，Specint2000 性能2700，Specint2006 160？（等效 8 core TaishanV110@2.0GHz？）
2、AI计算：集成8个Volta core（SM），提供8*8*64*1.2G*2*2 = 20Tops算力；（512个CUDA core，提供1.2TFlops）
集成2个DLAs（2*2048MAC），提供4096*2*1.2G = 10Tops算力
3、ISP : 3840*2160*60*3 = 1.492992 Gpix/s
"				"1、集成可编程的视觉处理加速单元，支持Stereo Disparity，光流，图像处理等加速；
2、为满足自动驾驶安全需求，Xavier支持1个cluster（2核）的Carmel实现lockstep，系统总线和缓存支持ECC & 奇偶校验，支持BIST；支持任务在CPU、GPU、DLA之间分发；
"
				Drive Pegasus	Device	MDC	高	下一代自动驾驶，SOC为Xavier+post-volta，预计19年底发布	Xavier + Post-Volta					
				RTX 2080 Ti	Device	消费者、端侧推理	高	消费级AI卡，1951规划新进入新领域的当前可见竞品，供芯片阶段分析参考	turing架构TU102，12nm	"4352 CUDA core
11GB GDDR6
14 Gbps显存速率"			13相供电	RTX-OPS 76T
				V100	CLOUD	云侧训练	高	用于训练服务器，主流训练板卡	Volta 架构	"1、tensor core 640、cuda core 5120
2、HBM2高于 Pascal GPU 1.5 倍的显存带宽(900GB/秒)"	"双精度  
7 TeraFLOPS
单精度 
14 TeraFLOPS
深度学习  
112 TeraFLOPS"		全新的最大节能模式。在此模式下，TeslaV100 以最大处理效率运行时，可提供高达 80% 的性能而只需一半的功耗	
				Titan RTX	Device	消费者、端侧推理	中	2080ti后Nv新一代最高显卡	turing架构TU102，12nm	24GB大显存，频率1770 MHz			13相imon Drmos电源，亚毫秒级电源管理	
				 jetson TX2	Device	生态开发者	高	生态组的对比款型	Volta 架构	"1、tensor core 640、cuda core 5120
2、HBM2高于 Pascal GPU 1.5 倍的显存带宽(900GB/秒)"	"双精度  
7 TeraFLOPS
单精度 
14 TeraFLOPS
深度学习  
112 TeraFLOPS"		全新的最大节能模式。在此模式下，TeslaV100 以最大处理效率运行时，可提供高达 80% 的性能而只需一半的功耗	
				jetson nano	Device	生态开发者	高	生态组对标的款型	turing架构TU102，12nm	24GB大显存，频率1770 MHz			13相imon Drmos电源，亚毫秒级电源管理	
				RTX 3070	Device	消费者、端侧推理	中	V200 单p的主要对比款型，上市时间未定，测试阶段发布前比拼						
				RTX 3080 TI	Device	消费者、端侧推理	中	V200 多p的主要对比款型，上市时间未定，测试阶段发布前比拼						
Google	"云侧训练推理
端侧推理"	"google的软件和系统强，关注云上TPU 的cloud service和 Cloud IoT Edge边缘设备
近期关注TPU3.0、2019年底TPU4.0"	Y	 Edge TPU	Device	端侧推理、开发者	中	IoT边缘						
				TPU v3.0	CLOUD	云侧训练	中	算力高，云上成熟应用						
